Topic,Count,Name,Representation,Representative_Docs
12,59,12_nft_nfts_proceeds_donated,"['nft', 'nfts', 'proceeds', 'donated', 'collection', 'nftcommunity', 'ukraine nft', 'nftart', 'eth', 'sales']","['I hope that an ordinary, quiet life will be realized around the world as soon as possible. And, of course, in Eastern Europe. The proceeds of this NFT (30 ETH) will be donated to the Japanese Red Cross Society. #NFT #Ukraine #donations #RedCross', 'I hope that an ordinary, quiet life will be realized around the world as soon as possible. And, of course, in Eastern Europe. The proceeds of this NFT (30 ETH) will be donated to the Japanese Red Cross Society. #NFT #Ukraine️ #Donations', ""Ukrainian Boxer Wladimir Klitschko releases #NFT! The #NFTs were made in partnership with 'WhlsBe,' and will be available to mint in a tiered pricing model for $100, $1,000, and $10,000. All proceeds from the NFT sales will be donated to Ukraine Red Cross and UNICEF. #Ukraine❤️""]"
13,58,13_geneva_pows_convention_geneva convention,"['geneva', 'pows', 'convention', 'geneva convention', 'pow', 'prisoners', 'geneva conventions', 'conventions', 'treated', 'article']","['These prisoners have rights under the Geneva convention! Any mistreatment to them of any kind is a war crime! Please punish the russian war criminals harshly! #SlavaUkraini #StopPutinNOW #CrimeaIsUkraine', 'The first prisoners of war (POWs) in #Ukraine have been prosecuted and sentenced, with many more to come. In this blog, legal adviser Yvette Issar outlines how fair trial must be guaranteed to #POWs under the Third Geneva Convention. 👇', ""The International Committee of the Red Cross ( ) says prisoners of war images breach Geneva Convention (Article 13). Don't share images of prisoners of war PoW. PoW must at all times be humanely treated. Respect Human Rights! 🇺🇳 #HumanRights #Ukraine #Russia #RussiaCrisis""]"
14,58,14_security reasons_reasons_ukraine security_security,"['security reasons', 'reasons', 'ukraine security', 'security', 'operations', 'suspends', 'activities ukraine', 'cross suspends', 'operations ukraine', 'activities']","['Red Cross ⛑️ suspends activities in #Ukraine 🇺🇦 for security reasons.', '⚡ International Committee of the Red Cross suspends activities in #Ukraine for security reasons - Reuters', '🇺🇦⚡ International Committee of the #RedCross suspends activities in #Ukraine for security reasons - Reuters for security reasons...Red Cross...suspends activities...Red Cross...security reasons...']"
15,58,15_save_mariupol azovstal_azovstal_save defenders,"['save', 'mariupol azovstal', 'azovstal', 'save defenders', 'defenders mariupol', 'soldiers people', 'mariupol', 'save soldiers', 'savemariupol', 'defenders']","['Save soldiers and people from #Mariupol #Azovstal please🙏 @ UN 🙏🙏🙏🇺🇦🌻🌻', 'Save soldiers and people from #Mariupol #Azovstal please🙏🙏🙏 🇺🇦🌻🌻', '🙏Save soldiers and people from #Mariupol #Azovstal please🙏 🙏🙏🙏🇺🇦🌻🌻']"
16,58,16_destruction_destruction ukraine_100 days_scale destruction,"['destruction', 'destruction ukraine', '100 days', 'scale destruction', 'infrastructure', 'damaged', 'civilian', 'schools', 'conflict', 'days war']","[""#denazification: 'It would be hard to exaggerate the toll that the international armed conflict in Ukraine has had on civilians over the last 100 days. The scale of destruction in cities defies comprehension.' ICRC reports. #RussianUkrainianWar #Day100"", '""It would be hard to exaggerate the toll that the international armed conflict in #Ukraine has had on civilians over the last 100 days. The scale of destruction in cities defies comprehension."" via 1/2', 'The said on Friday the scale of the destruction in #Ukraine due to #RussianInvasion “defies comprehension.” ""It would be hard to exaggerate the toll that the international armed conflict in Ukraine has had on civilians over the last 100 days,"" said.']"
17,54,17_canadian_000_canadian red_million,"['canadian', '000', 'canadian red', 'million', 'donations', 'humanitarian crisis', 'relief', 'government', 'humanitarian', 'dollar']","['The Canadian Government has said it will match all donations to the Red Cross to help bring humanitarian relief to Ukraine. The federal government has said it will match all donations by Canadians dollar-for-dollar, to a maximum of $10 million. #Ukraine', 'NEW: Canada announces it will match additional $20 million in donations to the Canadian Red Cross - making it a total of $30 million in government contributions to support relief efforts in the region #cdnpoli #Ukraine', 'Through the Canadian Red Cross Ukraine Humanitarian Crisis Appeal, Navacord is donating $100,000 to help bring humanitarian aid to Ukraine. #Ukraine #TheMitchellAbbottGroup']"
18,53,18_useless_organisations_organizations_money,"['useless', 'organisations', 'organizations', 'money', 'russiaisaterroriststate', 'useless organizations', 'completely useless', 'useless organisations', 'completely', 'russiaisaterrorisstate']","['Just a daily reminder not to donate to ( because they obviously have enough russian money) and (because they are completely useless) and that #RussiaIsATerroristState', 'GM! A reminder, #russiaisaterrorisstate . and are useless organizations that is being mostly fund by USA (our tax money). Also, #allrussiansareresponsible #russiaisaterrorisstate your prices are going up because of #russiaisaterrorisstate', 'Daily reminder #russiaisaterrorisstate #allrussiansareresponsible are #Useless #organizations']"
19,47,19_soldiers_help evacuate_wounded_evacuate,"['soldiers', 'help evacuate', 'wounded', 'evacuate', 'savemariupol', 'evacuate soldiers', 'azovstal', 'soldiers azovstal', 'medicine', 'help']","['The whole world watched them bravely protecting civilians for 2 months, now its time we help our superheroes. Help us evacuate our soldiers! #SaveMariupol #saveAzov #SaveUkraine 🙏🏻', '#SaveMariupol The whole world watched them bravely protecting civilians for 2 months, now its time we help our superheroes. Help us evacuate our soldiers!', 'We are grateful for the evacuation of civilians from #Mariupol!Help us evacuate our soldiers who are left at #Azovstal plant under constant heavy shellings.The whole world watched them bravely protecting civilians for more than 2 months,now its time we help our superheroes.']"
20,46,20_kherson_blew_dam_blew dam,"['kherson', 'blew', 'dam', 'blew dam', 'russia blew', 'rescue', 'unitednothing', 'unitednotning', 'flooding', 'redcross']","[""Thank you, #UN #UnitedNotning , that's on you. #Russia blew up the dam; and you even didn't help with humanitarian aid, no rescue teams . Thank you #RedCross, for the same. No rescue teams from ANY SINGLE COUNTRY in #Kherson. AT ALL."", 'That will be THE FIRST international government help arriving to #Ukraine for helping fighting #Kherson flooding as outcome of #Russia blew up the dam. #Moldova. Still #UnitedNothing #UN = 0 #RedCross =0', 'Thank you #UN #UnitedNotning . #Russia blew up the dam; and now shelling people fighting flooding and evacuation grounds in #Kherson. Thank you #RedCross. You are not there too.']"
21,46,21_ucrania rusia_rusia russia_ucrania_rusia,"['ucrania rusia', 'rusia russia', 'ucrania', 'rusia', 'crisis ucrania', 'russia ukraine', 'crisis', 'donetsk', 'russia', 'shelling']","['CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦 2 children (11 &amp; 3 years old) were wounded during the shelling of #Kievsky district of Donetsk.', 'CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦No Nazis in Ukraine? 🤔', 'CRISIS #Ucrania #Rusia #Russia #Ukraine 🇷🇺🇺🇦 For the Children of Donbass. 💖']"
22,45,22_ukrainian soldiers_soldiers_help evacuate_evacuate soldiers,"['ukrainian soldiers', 'soldiers', 'help evacuate', 'evacuate soldiers', 'azovstal plant', 'save', 'constant heavy', 'evacuate', 'azovstal', 'civilians mariupol']","['Ukrainians are incredibly grateful for the evacuation of civilians from Mariupol! From the depth of our hearts, thank you! Today, we ask you save Ukrainian soldiers left at the Azovstal under constant heavy bombardments. Please help us evacuate our soldiers! #Mariupol #Azovstal', 'We beg to evacuate the Ukrainian soldiers who remain at the Azovstal plant under constant heavy bombardment. Do they have a chance to survive? Help us evacuate our soldiers! #SaveMariupol #Azovstal', 'Thanks for evacuation of civilians from Mariupol!Please save Ukrainian soldiers who are left at Azovstal plant under constant heavy bombardments. Do they have a chance to survive? not enough food and medicine, many of them are wounded. Help us evacuate our soldiers! #SaveMariupol']"
23,42,23_squad_know_ukraine ukraine_repeat,"['squad', 'know', 'ukraine ukraine', 'repeat', 'fueling', 'watching', 'fact check', 'know know', 'ukraine know', 'ukraine']","['🚨FACT CHECK🚨 False information circulating online is jeopardising the work of in #Ukraine This has capacity to harm people we help across the 🌍 Think &amp; fact check before you share. Because misinfo can costs lives. So here are the facts ⬇️', '▶ are being attacked by the US goon squad fueling war in #Ukraine. ▶ are being attacked by the US goon squad fueling war in #Ukraine. will recognise the pattern as she can identify the #US goon squad who did the same to #Ethiopia 2020.', '#ukraine I constantly repeat myself lately.... Facts I call it. What about you? , ( 🤔🤔, 🤔 ??) : I know, I know... you are shameful excluded!! You left Ukraine!!!!!!!!']"
24,42,24_pows_prisoners_prisoners war_prison,"['pows', 'prisoners', 'prisoners war', 'prison', 'ukrainian prisoners', 'access', 'visit', 'prison camp', 'war', 'attack']","[""‼️🏥The #RedCross responded to #Russia's invitation to investigate the attack on the pre-trial detention center in Yelenovka Earlier, the Red Cross claimed that it had no mandate to investigate the attack on the pre-trial detention center in #Yelenovka."", 'The Red Cross has visited prisoners of war in russia and #Ukraine. As the International Committee of the Red Cross (ICRC) announced, employees were able to visit Ukrainian prisoners of war this week and last. Apparently everything is fine. Reports: scarce.', '💬#Zakharova: ‼️The International Committee of the Red Cross has not responded to our request to help us visit Russian #POWs in #Ukraine, while #ICRC representatives and Ukrainian MPs have been allowed to visit the Ukrainian POWs at the Yelenovka pre-trial detention centre (DPR)']"
25,41,25_art_auction_donated red_donated,"['art', 'auction', 'donated red', 'donated', 'profit', 'artist', '100', 'ukraineunderattack ukrainerussiawar', 'bid', 'appeal']","['""Ukraine"" Merch Profit from this art will be donated to the Red Cross in support of humanitarian relief for #Ukrainians. #UkraineUnderAttack #UkraineRussiaWar #Ukriane #UkraineRussianWar #UkraineKrieg', 'Working on a ukranien kitty to add to our ukranien support collection we will be adding some 1/1 art as well as the art with 100 editions the funds from the 1/1 art will be 100% donated to red cross #UkraineConflict #UkraineUnderAttack make love not war 😔💔', '""Ukraine"" iPhone Profit from this art will be donated to the Red Cross in support of humanitarian relief for #Ukrainians. #UkraineUnderAttack #UkraineRussiaWar #Ukriane #UkraineRussianWar #iPhonecase #iPhone13 #iPhone13ProMax']"
26,40,26_ethiopia_tigray_endtigraysiege_yes,"['ethiopia', 'tigray', 'endtigraysiege', 'yes', 'ethiopia amp', 'amhara', 'tigraygenocide', 'amp destroyed', 'tigray completely', 'looted amp']","['🏥🏥 Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; its allies. #EndTigrayFamine #EndTigraySiege', 'Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; its allies. #EndTigrayFamine #EndTigraySiege', '#🏥🏥 Health facilities across #Tigray have been completely looted &amp; destroyed by #Ethiopia &amp; Eritrea its allies. #EndTigrayFamine #EndTigraySiege #TigrayGenocide']"
27,40,27_russiaisaterroriststate_genocide_help ukraine_promised,"['russiaisaterroriststate', 'genocide', 'help ukraine', 'promised', 'committing', 'defend', 'russiaisaterroriststate promised', 'stop', 'terrorist', 'russiaisaterroriststate kherson']","['Where is the promised help for victims in Ukraine? #ecocide #RussiaIsATerroristState #Kherson', '??? Where is the promised help for victims in Ukraine? #ecocide #RussiaIsATerroristState #Kherson', '#russiaisaterrorisstate is committing the genocide of Ukrainians non-stop. , are useless! Only people throughout the world can help Ukraine save people lives and win the war - ask your governments to provide Ukraine with weapons. #ArmUkrainaNow']"
28,39,28_olenivka_responsible_responsible lives_committed,"['olenivka', 'responsible', 'responsible lives', 'committed', 'olenivka responsible', 'committed russia', 'terrorist', 'demand immediately', 'terrorist act', 'russia olenivka']","['We demand the and the immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives! #russiaisaterrorisstate #RussianWarCrimes #GenocideOfUkrainians', 'We demand the and the immediately respond to the terrorist act committed by russia in Olenivka. You’re responsible for their lives! #russiaisaterrorisstate #OlenivkaMassacre #olenivka #GenocideOfUkrainians', 'We demand the and the immediately respond to the terrorist act committed by russia in #Olenivka . You’re responsible for their lives! #russiaisaterrorisstate #Kriegsverbrechen #RussiaIsATerroristState #Kriegsverbrecher']"
29,39,29_building_cross building_bombed_marked red,"['building', 'cross building', 'bombed', 'marked red', 'hit', 'destroyed', 'warehouse', 'building marked', 'marked', 'buildings']","['In #Mariupol russian occupiers shelled the building marked ""Red Cross"" This is one of the most outrageous war crimes! Such crosses mark places where civilian or humanitarian cargo situated. #StopRussia', 'The building marked by a Red Cross sign is a hospital in #Mariupol 🇺🇦 Russia bombed it. #StopRussianAggression', '📷 Russian army bombed a hospital in #Mariupol. The building was marked by a Red Cross sign. #Ukraine #UkraineRussiaWar']"
30,38,30_evacuation_mariupol volnovakha_mariupol_volnovakha,"['evacuation', 'mariupol volnovakha', 'mariupol', 'volnovakha', 'evacuation civilians', 'evacuations', 'saturday', 'evacuation mariupol', 'mariupol evacuation', 'agreed']","['Civilian evacuations from Mariupol and Volnovakha will not happen on Saturday, says Red Cross #UkraineUnderAttaсk', '#Russia and #Ukraine have agreed to establish three civilian evacuation sites in #Mariupol with the support of the United Nations and the Red Cross, the municipal council said via Telegram.', 'Russia and Ukraine have agreed to establish three civilian evacuation sites in #Mariupol with the support of the United Nations and the Red Cross, the municipal council said via Telegram.']"
31,38,31_mother_filtration camp_child_filtration,"['mother', 'filtration camp', 'child', 'filtration', 'camp', 'separated', 'daughter', 'unknown', 'medics', 'taken']","['A child and her mother separated in a 🇷🇺 filtration camp after being rescued from #Azovstal #Mariupol , the child went on to UA territory and the mother was retained at the separation camp… #REUNITE #StandWithUkraine #SendBoots #SaveAzovstalTroops', 'A child and her mother separated in a 🇷🇺 filtration camp after being rescued from #Azovstal #Mariupol , the child went on to UA territory and the mother was retained at the separation camp… #REUNIT #StandWithUkraine #SaveAzovstal', 'During the evacuation of civilians from AzovStal, #Mariupol, mother was separated from her child by russian forces. The child is safe in Zaporizhia,but the mother was detailed in russian filtration camp. Her life may be in danger! #RussianWarCrimes']"
32,37,32_children_ukrainian children_deported_deportation,"['children', 'ukrainian children', 'deported', 'deportation', 'forced', 'kidnapped', 'ukrainians', 'deported russia', 'russia', 'cybercrime ukraine']","['Russia claims to have taken 5.5 Ukrainians [incl 749,000 children] into Russia as of 29 Mar 2023. + still have no access to these persons. The world cannot know how many went willingly, or were coerced or forced at gunpoint from their homes in #Ukraine.', 'Feb. 3: 7/ #Russian #WarCrimes against #Ukrainian #Children ..take appropriate #Measures to respond to a possible #Crime, to #Find &amp; #Punish the #Guilty..continued 8/ #UkraineRussiaWar #CyberCrime #Ukraine #Violence . . .', ""Feb. 3: 6/ #Russian #WarCrimes against #Ukrainian #Children ..I call on the #CyberPolice, the #NationalPolice &amp; the #ProsecutorGeneral's #Office to take..continued 7/ #UkraineRussiaWar #CyberCrime #Ukraine #Violence . . .""]"
33,37,33_says team_team_cross says_team held,"['says team', 'team', 'cross says', 'team held', 'says', 'reach', 'reach mariupol', 'held', 'released', 'mariupol released']","[""#Red Cross says team held near #Mariupol 'released'"", ""'Red Cross says its team is being held close to Mariupol in Ukraine - 🙏 #Ukraine"", 'Red Cross says its team is being held close to Mariupol in #Ukraine']"
34,36,34_mined_route_evacuation route_route mariupol,"['mined', 'route', 'evacuation route', 'route mariupol', 'mariupol mined', 'mined red', 'cross says', 'says evacuation', 'evacuation', 'says']","['Evacuation route out of Mariupol was mined, Red Cross says via #RussiaUkraineWar', '#RussianUkrainianWar Evacuation route out of Mariupol was mined, Red Cross says', 'Evacuation route out of Mariupol was mined, Red Cross says #UkraineWar']"
35,35,35_yemen_congress_usa_unitedstates,"['yemen', 'congress', 'usa', 'unitedstates', 'news', 'truce', 'warcrimes', 'reuters', 'blockade', 'backed']","['The Fuel Crisis in Yemen 🇾🇪 vs UAE 🇦🇪. #Yemen #Congress #Reuters #news #NewsAlert #Sanaa #Ukraine️ #FuelPrices #sanaa #TheGuardian #cbsnews #CNN #USA #UnitedStates #UnitedNations #FuelPrice', 'Sanaa Government 🇾🇪 #Yemen #Sanaa #news #Reuters #Congress #Ukraine️ #USA #UnitedStates #help #WarCrimes #WashingtonDC #NewsBreak', ""⛔ Stop the US-backed Saudi's aggression on Yemenis. #Yemen #Congress #USA #UnitedStates #news #WarCrimes #Blockade #RussiaUkraineWar""]"
36,35,36_stoprussia_stopputinnow_standwithukraine_standwithukraine standupforukraine,"['stoprussia', 'stopputinnow', 'standwithukraine', 'standwithukraine standupforukraine', 'standupforukraine', 'armukrainenow', 'russiancrimes', 'standwithukraine just', 'stopputinnow stoprussianaggression', 'stoprussianaggression']","['COVERUP IN PROGRESS #StandWithUkraine #StandUpForUkraine #UkraineWar #UkraineRussianWar #Russia #Russian #RussianWarCrimesInUkraine #BuchaGenocide #BuchaMassacre #Bucha', '#StandWithUkraine #StopPutinNOW #StopRussianAggression #StopTheWarInUkraine CLOSE THE SKY OVER UKRAINE!', '#StandWithUkraine #StopPutinNOW #StopRussianAggression #StopTheWarInUkraine CLOSE THE SKY OVER UKRAINE! STOP THE WAR!']"
37,35,37_kits_hygiene_delivered_products,"['kits', 'hygiene', 'delivered', 'products', 'tons', 'romanian', 'food', 'hygiene kits', 'romanian red', 'trucks']","['With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚 #StandWithUkraine️ #PrayForUkraine #PrayPeace', 'With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚', 'ifrc RT : With support from Romanian Red Cross, four Italian Red Cross trucks carrying 32 tonnes of food, blankets, medicine and trauma kits have arrived in Chernivtsi, #Ukraine, to support the emergency response during the conflict. 🚚 …']"
38,35,38_raised_british red_british_appeal,"['raised', 'british red', 'british', 'appeal', 'crisis appeal', 'cross ukraine', 'thank', 'ukraine crisis', 'crisis', 'donating']","['For every completed property transaction during March we will be donating £10 to the British Red Cross Ukraine Crisis Appeal 💙 💛 You can also support the Ukraine Crisis Appeal by donating via our Just Giving fundraiser 👉 #Ukraine', ""We're proud to have worked with since 2016 to help communities in times of uncertainty. Through our partnership, we're donating £700k to the British Red Cross #Ukraine Crisis Appeal. And we'll match donations up to £500k. Please donate 👇 #WorldRedCrossDay"", ""We've been working with since 2016 to help communities in times of uncertainty. Through our partnership we're donating £700k to the British Red Cross #Ukraine Crisis Appeal. And we'll match donations up to £500k #WorldRedCrossDay Please donate 👇""]"
39,34,39_did guarantee_guarantee safety_guarantee_azovstal,"['did guarantee', 'guarantee safety', 'guarantee', 'azovstal', 'did', 'safety', 'left azovstal', 'safety ukrainian', 'stated', 'azovstal defenders']","['stated that it did not guarantee the safety of 🇺🇦 military personnel who left #Azovstal. “We did not guarantee the safety of the PoWs once in enemy hands because it is not within our power to do so,” the Red Cross reported.', 'The International Committee of the Red Cross claims that it did not guarantee the safety of #Ukrainian prisoners of war who left the Azovstal plant in Mariupol', 'ICRC says that it did not guarantee safety of Azovstal prisoners #Ukraine']"
40,34,40_russianwarcrimes_documented_comments_comments russianwarcrimes,"['russianwarcrimes', 'documented', 'comments', 'comments russianwarcrimes', 'proof', 'silence', 'deafening', 'aggressors', 'did let', 'hypocritical']","['Any comments from ? ? documented #RussianWarCrimes here', 'Any comments from ? documented #RussianWarCrimes here', 'Any comments from ? ? documented #RussianWarCrimes']"
